cameraman, 10, 24.586760818347855
cameraman, 25, 24.386458635653995
cameraman, 35, 23.854586541822343
cameraman, 75, 16.542802480571066
cameraman, 100, 12.497134907752674

house, 10, 26.14074930293215
house, 25, 25.90366386374769
house, 35, 25.355554637734954
house, 75, 15.682094315945143
house, 100, 12.56828346858401

lena, 10, 27.81691263549389
lena, 25, 27.43160628587196
lena, 35, 26.67419192887642
lena, 75, 16.969065867834782
lena, 100, 12.601934917578783

barbara, 10, 26.64546523636315
barbara, 25, 26.24516568456224
barbara, 35, 24.96284156030876
barbara, 75, 16.744296757842868
barbara, 100, 12.7233286731757

